incoming,converted,n_incoming,n_converted,name,description,namespaces,query
WASH7P,None,1,1,None,None,,query_1
MIR6723,None,2,1,None,None,,query_1
LINC01128,None,3,1,None,None,,query_1
SAMD11,148398,4,1,SAMD11,sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NOC2L,26155,5,1,NOC2L,NOC2 like nucleolar associated transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:24517],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PLEKHN1,84069,6,1,PLEKHN1,pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ISG15,9636,7,1,ISG15,ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
AGRN,375790,8,1,AGRN,agrin [Source:HGNC Symbol;Acc:HGNC:329],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TTLL10,254173,9,1,TTLL10,tubulin tyrosine ligase like 10 [Source:HGNC Symbol;Acc:HGNC:26693],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SDF4,51150,10,1,SDF4,stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
UBE2J2,118424,11,1,UBE2J2,ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SCNN1D,6339,12,1,SCNN1D,sodium channel epithelial 1 delta subunit [Source:HGNC Symbol;Acc:HGNC:10601],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ACAP3,116983,13,1,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
INTS11,54973,14,1,INTS11,integrator complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:26052],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DVL1,1855,15,1,DVL1,dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MXRA8,54587,16,1,MXRA8,matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
AURKAIP1,54998,17,1,AURKAIP1,aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CCNL2,81669,18,1,CCNL2,cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LOC148413,None,19,1,None,None,,query_1
VWA1,64856,20,1,VWA1,von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ATAD3C,219293,21,1,ATAD3C,ATPase family AAA domain containing 3C [Source:HGNC Symbol;Acc:HGNC:32151],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ATAD3B,83858,22,1,ATAD3B,ATPase family AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SSU72,29101,23,1,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
FNDC10,643988,24,1,FNDC10,fibronectin type III domain containing 10 [Source:HGNC Symbol;Acc:HGNC:42951],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MIB2,142678,25,1,MIB2,mindbomb E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:30577],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CDK11B,984,26,1,CDK11B,cyclin dependent kinase 11B [Source:HGNC Symbol;Acc:HGNC:1729],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC35E2B,728661,27,1,SLC35E2B,solute carrier family 35 member E2B [Source:HGNC Symbol;Acc:HGNC:33941],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CDK11A,728642,28,1,CDK11A,cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC35E2,None,29,1,None,None,,query_1
GNB1,2782,30,1,GNB1,G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CFAP74,85452,31,1,CFAP74,cilia and flagella associated protein 74 [Source:HGNC Symbol;Acc:HGNC:29368],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
GABRD,2563,32,1,GABRD,gamma-aminobutyric acid type A receptor delta subunit [Source:HGNC Symbol;Acc:HGNC:4084],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PRKCZ,5590,33,1,PRKCZ,protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
FAAP20,199990,34,1,FAAP20,FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SKI,6497,35,1,SKI,SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MORN1,79906,36,1,MORN1,MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
RER1,11079,37,1,RER1,retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PEX10,5192,38,1,PEX10,peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PANK4,55229,39,1,PANK4,pantothenate kinase 4 [Source:HGNC Symbol;Acc:HGNC:19366],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MMEL1,79258,40,1,MMEL1,membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TTC34,100287898,41,1,TTC34,tetratricopeptide repeat domain 34 [Source:HGNC Symbol;Acc:HGNC:34297],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PRDM16,63976,42,1,PRDM16,PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ARHGEF16,27237,43,1,ARHGEF16,Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MEGF6,1953,44,1,MEGF6,multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
