source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0005737,cytoplasm,3.915798446749314e-75,True,"""All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",11620,10070,6830,18842,0.6782522343594836,0.5877796901893287,query_1,['GO:0044424']
GO:CC,GO:0044424,intracellular part,1.4569947925962077e-74,True,"""Any constituent part of the living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm."" [GOC:jl]",14552,10070,8310,18842,0.8252234359483615,0.5710555250137438,query_1,"['GO:0044464', 'GO:0005622']"
GO:CC,GO:0005622,intracellular,2.1153240419329976e-74,True,"""The living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]",14596,10070,8331,18842,0.8273088381330685,0.5707728144697177,query_1,['GO:0044464']
GO:CC,GO:0044444,cytoplasmic part,8.38676175738065e-66,True,"""Any constituent part of the cytoplasm, all of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [GOC:jl]",9760,10070,5812,18842,0.5771598808341609,0.5954918032786886,query_1,"['GO:0044424', 'GO:0005737']"
GO:CC,GO:0043226,organelle,4.2895753059579846e-61,True,"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]",13667,10070,7818,18842,0.7763654419066535,0.572034828418819,query_1,['GO:0005575']
GO:MF,GO:0043167,ion binding,1.8416992822311835e-54,True,"""Interacting selectively and non-covalently with ions, charged atoms or groups of atoms."" [GOC:jl]",6276,9902,3938,18098,0.3976974348616441,0.6274697259400892,query_1,['GO:0005488']
GO:CC,GO:0005829,cytosol,1.371286372771303e-52,True,"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]",5086,10070,3190,18842,0.31678252234359483,0.6272119543845851,query_1,['GO:0044444']
GO:CC,GO:0043229,intracellular organelle,1.2326913161293253e-46,True,"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]",12818,10070,7320,18842,0.7269116186693148,0.5710719300982993,query_1,"['GO:0043226', 'GO:0044424']"
GO:CC,GO:0044464,cell part,3.5320934363019333e-43,True,"""Any constituent part of a cell, the basic structural and functional unit of all organisms."" [GOC:jl]",17004,10070,9375,18842,0.9309831181727904,0.5513408609738885,query_1,"['GO:0005575', 'GO:0005623']"
GO:CC,GO:0042995,cell projection,2.429552361924869e-42,True,"""A prolongation or process extending from a cell, e.g. a flagellum or axon."" [GOC:jl, http://www.cogsci.princeton.edu/~wn/]",2216,10070,1490,18842,0.14796425024826215,0.6723826714801444,query_1,['GO:0044464']
