source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
KEGG,KEGG:04510,Focal adhesion,1.0742652818523375e-09,True,Focal adhesion,198,4351,156,7772,0.03585382670650425,0.7878787878787878,query_1,['KEGG:00000']
KEGG,KEGG:05200,Pathways in cancer,4.280190813721228e-07,True,Pathways in cancer,528,4351,359,7772,0.0825097678694553,0.6799242424242424,query_1,['KEGG:00000']
KEGG,KEGG:04012,ErbB signaling pathway,5.636351841568625e-07,True,ErbB signaling pathway,84,4351,72,7772,0.016547920018386578,0.8571428571428571,query_1,['KEGG:00000']
KEGG,KEGG:04512,ECM-receptor interaction,2.0236466799649734e-06,True,ECM-receptor interaction,88,4351,74,7772,0.01700758446334176,0.8409090909090909,query_1,['KEGG:00000']
KEGG,KEGG:04360,Axon guidance,3.4176754357263856e-06,True,Axon guidance,180,4351,136,7772,0.031257182256952426,0.7555555555555555,query_1,['KEGG:00000']
KEGG,KEGG:04015,Rap1 signaling pathway,5.78243977093312e-06,True,Rap1 signaling pathway,210,4351,155,7772,0.03562399448402666,0.7380952380952381,query_1,['KEGG:00000']
KEGG,KEGG:04724,Glutamatergic synapse,7.262141569955505e-05,True,Glutamatergic synapse,114,4351,89,7772,0.02045506780050563,0.7807017543859649,query_1,['KEGG:00000']
KEGG,KEGG:05165,Human papillomavirus infection,9.522285525489774e-05,True,Human papillomavirus infection,330,4351,227,7772,0.052171914502413236,0.6878787878787879,query_1,['KEGG:00000']
KEGG,KEGG:04010,MAPK signaling pathway,0.00010577979554108699,True,MAPK signaling pathway,295,4351,205,7772,0.04711560560790623,0.6949152542372882,query_1,['KEGG:00000']
KEGG,KEGG:04974,Protein digestion and absorption,0.00025842653100373645,True,Protein digestion and absorption,95,4351,75,7772,0.01723741668581935,0.7894736842105263,query_1,['KEGG:00000']
KEGG,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,0.0002809434219564137,True,EGFR tyrosine kinase inhibitor resistance,79,4351,64,7772,0.014709262238565847,0.810126582278481,query_1,['KEGG:00000']
KEGG,KEGG:04919,Thyroid hormone signaling pathway,0.0007214731899171824,True,Thyroid hormone signaling pathway,119,4351,90,7772,0.020684900022983222,0.7563025210084033,query_1,['KEGG:00000']
KEGG,KEGG:05224,Breast cancer,0.0009125575865071839,True,Breast cancer,147,4351,108,7772,0.024821880027579867,0.7346938775510204,query_1,['KEGG:00000']
KEGG,KEGG:04072,Phospholipase D signaling pathway,0.0009125575865071839,True,Phospholipase D signaling pathway,147,4351,108,7772,0.024821880027579867,0.7346938775510204,query_1,['KEGG:00000']
KEGG,KEGG:04934,Cushing syndrome,0.0010959564000932712,True,Cushing syndrome,152,4351,111,7772,0.02551137669501264,0.7302631578947368,query_1,['KEGG:00000']
KEGG,KEGG:05211,Renal cell carcinoma,0.0016063613647015994,True,Renal cell carcinoma,68,4351,55,7772,0.012640772236267524,0.8088235294117647,query_1,['KEGG:00000']
KEGG,KEGG:05231,Choline metabolism in cancer,0.0020738242506425403,True,Choline metabolism in cancer,98,4351,75,7772,0.01723741668581935,0.7653061224489796,query_1,['KEGG:00000']
KEGG,KEGG:05225,Hepatocellular carcinoma,0.002285190047441367,True,Hepatocellular carcinoma,166,4351,119,7772,0.027350034474833373,0.7168674698795181,query_1,['KEGG:00000']
KEGG,KEGG:05226,Gastric cancer,0.0032962980993070886,True,Gastric cancer,148,4351,107,7772,0.024592047805102275,0.722972972972973,query_1,['KEGG:00000']
