incoming,converted,n_incoming,n_converted,name,description,namespaces,query
WASH7P,None,1,1,None,None,,query_1
OR4F5,79501,2,1,OR4F5,olfactory receptor family 4 subfamily F member 5 [Source:HGNC Symbol;Acc:HGNC:14825],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LOC729737,None,3,1,None,None,,query_1
LOC100133331,None,4,1,None,None,,query_1
LOC100288069,None,5,1,None,None,,query_1
FAM87B,None,6,1,None,None,,query_1
LINC00115,None,7,1,None,None,,query_1
LINC01128,None,8,1,None,None,,query_1
FAM41C,None,9,1,None,None,,query_1
LOC100130417,None,10,1,None,None,,query_1
SAMD11,148398,11,1,SAMD11,sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NOC2L,26155,12,1,NOC2L,NOC2 like nucleolar associated transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:24517],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
KLHL17,339451,13,1,KLHL17,kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PLEKHN1,84069,14,1,PLEKHN1,pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PERM1,84808,15,1,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1 [Source:HGNC Symbol;Acc:HGNC:28208]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
HES4,57801,16,1,HES4,hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ISG15,9636,17,1,ISG15,ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
AGRN,375790,18,1,AGRN,agrin [Source:HGNC Symbol;Acc:HGNC:329],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
RNF223,401934,19,1,RNF223,ring finger protein 223 [Source:HGNC Symbol;Acc:HGNC:40020],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
C1orf159,54991,20,1,C1orf159,chromosome 1 open reading frame 159 [Source:HGNC Symbol;Acc:HGNC:26062],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MIR200B,406984,21,1,MIR200B,microRNA 200b [Source:HGNC Symbol;Acc:HGNC:31579],"ENTREZGENE,HGNC,WIKIGENE",query_1
TTLL10,254173,22,1,TTLL10,tubulin tyrosine ligase like 10 [Source:HGNC Symbol;Acc:HGNC:26693],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TNFRSF18,8784,23,1,TNFRSF18,TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TNFRSF4,7293,24,1,TNFRSF4,TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SDF4,51150,25,1,SDF4,stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
B3GALT6,126792,26,1,B3GALT6,"beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
C1QTNF12,388581,27,1,C1QTNF12,C1q and TNF related 12 [Source:HGNC Symbol;Acc:HGNC:32308],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
