source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0044424,intracellular part,3.392041578142157e-89,True,"""Any constituent part of the living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm."" [GOC:jl]",14552,16103,12869,18842,0.7991678569210706,0.8843457943925234,query_1,"['GO:0044464', 'GO:0005622']"
GO:CC,GO:0005737,cytoplasm,2.518731111776769e-88,True,"""All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",11620,16103,10412,18842,0.6465875923740918,0.8960413080895009,query_1,['GO:0044424']
GO:CC,GO:0005622,intracellular,3.984822413926949e-85,True,"""The living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]",14596,16103,12895,18842,0.8007824628951127,0.883461222252672,query_1,['GO:0044464']
GO:CC,GO:0044444,cytoplasmic part,3.524644216570523e-76,True,"""Any constituent part of the cytoplasm, all of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [GOC:jl]",9760,16103,8792,18842,0.5459852201453146,0.9008196721311476,query_1,"['GO:0044424', 'GO:0005737']"
GO:CC,GO:0043226,organelle,1.0482693704082236e-65,True,"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]",13667,16103,12069,18842,0.7494876731043905,0.8830760225360357,query_1,['GO:0005575']
GO:CC,GO:0005829,cytosol,8.742750610863439e-57,True,"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]",5086,16103,4677,18842,0.2904427746382662,0.9195831694848604,query_1,['GO:0044444']
GO:CC,GO:0043229,intracellular organelle,2.852592029103199e-54,True,"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]",12818,16103,11320,18842,0.7029746010060237,0.8831330940864409,query_1,"['GO:0043226', 'GO:0044424']"
GO:CC,GO:0043227,membrane-bounded organelle,1.9536742277396e-52,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",12536,16103,11076,18842,0.6878221449419363,0.8835354179961711,query_1,['GO:0043226']
GO:CC,GO:0044422,organelle part,1.0645379391778587e-50,True,"""Any constituent part of an organelle, an organized structure of distinctive morphology and function. Includes constituent parts of the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, but excludes the plasma membrane."" [GOC:jl]",10009,16103,8923,18842,0.5541203502452959,0.8914976521130982,query_1,"['GO:0005575', 'GO:0043226']"
GO:CC,GO:0044464,cell part,9.112476316918202e-46,True,"""Any constituent part of a cell, the basic structural and functional unit of all organisms."" [GOC:jl]",17004,16103,14758,18842,0.9164751909582065,0.8679134321336156,query_1,"['GO:0005575', 'GO:0005623']"
GO:CC,GO:0005623,cell,1.2404140911323528e-45,True,"""The basic structural and functional unit of all organisms. Includes the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:go_curators]",17069,16103,14810,18842,0.9197044029062907,0.8676548128185599,query_1,['GO:0005575']
