count,coverage
271413951,0
418316072,1
582213144,2
590089375,3
475776223,4
321988088,5
189906870,6
100602255,7
49158479,8
22778543,9
10257624,10
4636939,11
2170303,12
1094319,13
616998,14
389867,15
272970,16
207574,17
166782,18
139398,19
115167,20
95422,21
81125,22
69041,23
58064,24
49727,25
42466,26
36545,27
31899,28
28398,29
25213,30
22619,31
20711,32
18926,33
17226,34
15754,35
14430,36
13009,37
12366,38
11728,39
11262,40
10751,41
9653,42
8816,43
8418,44
7697,45
7526,46
7207,47
7089,48
6793,49
6244,50
6092,51
5720,52
5316,53
4862,54
5088,55
5028,56
4951,57
4879,58
4562,59
4414,60
4441,61
4234,62
4033,63
3795,64
3736,65
3716,66
3618,67
3409,68
3451,69
3284,70
3226,71
3107,72
2965,73
2936,74
2816,75
2657,76
2627,77
2495,78
2466,79
2392,80
2238,81
2205,82
2123,83
2134,84
2112,85
2199,86
2180,87
2017,88
2108,89
1945,90
1940,91
1806,92
1864,93
1862,94
1844,95
1797,96
1748,97
1660,98
1668,99
1652,100
1609,101
1589,102
1569,103
1535,104
1503,105
1519,106
1508,107
1426,108
1410,109
1429,110
1336,111
1253,112
1222,113
1257,114
1203,115
1217,116
1231,117
1225,118
1183,119
1187,120
1115,121
1156,122
1168,123
1149,124
1079,125
1103,126
1120,127
1125,128
1101,129
1039,130
1082,131
1089,132
1027,133
941,134
1001,135
929,136
968,137
881,138
906,139
940,140
874,141
967,142
847,143
804,144
822,145
861,146
854,147
806,148
769,149
798,150
787,151
806,152
775,153
797,154
789,155
798,156
761,157
707,158
771,159
789,160
752,161
675,162
721,163
680,164
690,165
660,166
701,167
682,168
728,169
692,170
673,171
690,172
647,173
595,174
585,175
561,176
560,177
576,178
559,179
536,180
572,181
527,182
574,183
539,184
535,185
523,186
538,187
564,188
518,189
570,190
576,191
533,192
533,193
537,194
465,195
518,196
486,197
490,198
511,199
455,200
455,201
474,202
452,203
432,204
426,205
405,206
438,207
398,208
401,209
374,210
411,211
396,212
404,213
358,214
396,215
378,216
412,217
412,218
371,219
348,220
360,221
361,222
360,223
371,224
384,225
397,226
372,227
431,228
418,229
384,230
434,231
405,232
377,233
404,234
401,235
410,236
390,237
364,238
363,239
404,240
386,241
347,242
336,243
356,244
346,245
333,246
339,247
332,248
313,249
89928,250
